A13295201,브라운스톤쌍문,서울특별시 도봉구 노해로40길 71
A13302001,청계벽산,서울특별시 성동구 무학로 50
A13302201,한진해모로,서울특별시 중구 왕십리로39길 30
A13302203,하왕극동미라주,서울특별시 성동구 난계로 73
A13302204,하왕금호베스트빌,서울특별시 성동구 난계로 114-31
A13302206,왕십리풍림아이원,서울특별시 성동구 난계로 84
A13305002,마장동 대성유니드 아파트,서울특별시 성동구 마장로37길 7
A13305003,마장신성미소지움,서울특별시 성동구 마장로39길 43
A13305005,마장SH-vill임대,서울특별시 성동구 마조로15가길 23
A13305006,마장삼성,서울특별시 성동구 마장로 271
A13307001,행당두산,서울특별시 성동구 고산자로14길 40
A13307002,서울숲행당푸르지오,서울특별시 성동구 고산자로 177
A13307101,서울숲삼부아파트,서울특별시 성동구 왕십리로 280
A13307201,행당브라운스톤,서울특별시 성동구 행당로 99
A13307202,신동아,서울특별시 성동구 독서당로 441
A13307204,행당대림,서울특별시 성동구 행당로 79
A13308005,응봉대림1차,서울특별시 성동구 독서당로62길 43
A13309101,신금호두산위브,서울특별시 성동구 행당로 27
A13309102,금호삼성래미안,서울특별시 성동구 독서당로 343
A13309301,금호한신휴플러스,서울특별시 성동구 금호산길 27
A13309402,금호동롯데아파트,서울특별시 성동구 동호로 84
A13309404,금호대우,서울특별시 성동구 독서당로 272
A13183202,용마한신2차아파트,서울특별시 중랑구 사가정로71길 11
A13183204,용마한신,서울특별시 중랑구 사가정로71길 19
A13183303,용마동아아파트,서울특별시 중랑구 용마산로62길 43
A13183405,면목대원칸타빌,서울특별시 중랑구 용마산로 285
A13183502,면목삼익,서울특별시 중랑구 동일로 501
A13183504,면목늘푸른동아아파트,서울특별시 중랑구 동일로 476
A13183701,아남리치카운티,서울특별시 중랑구 겸재로29길 27
A13184107,"면목두산4,5단지",
A13184301,면목신성은하수,서울특별시 중랑구 중랑천로 43
A13184502,면목성원,서울특별시 중랑구 용마산로 278
A13184609,신내4단지,서울특별시 중랑구 숙선옹주로 91
A13184610,신내5단지대림두산,서울특별시 중랑구 신내로21길 16
A13185402,묵동한국,서울특별시 중랑구 중랑천로 332
A13185501,묵동세방,서울특별시 중랑구 숙선옹주로9길 25
A13185502,묵동신안2차,서울특별시 중랑구 공릉로2나길 46
A13185507,묵동신안1차,서울특별시 중랑구 공릉로2라길 15
A13185508,묵동브라운스톤태릉,서울특별시 중랑구 공릉로18길 59
A13185602,상봉우정,서울특별시 중랑구 상봉중앙로1다길 21
A13185603,신내건영1차,서울특별시 중랑구 봉화산로48길 62
A13185607,신내건영2차아파트,서울특별시 중랑구 신내로7길 20
A13186306,신내12단지,서울특별시 중랑구 봉화산로 153
A13186401,동부아파트,서울특별시 중랑구 신내로7가길 31
A13186503,신내석탑,서울특별시 중랑구 용마산로125길 92
A13186504,신내영풍마드레빌,서울특별시 중랑구 용마산로129가길 41
A13186708,신내동성1차2차,서울특별시 중랑구 신내로 128
A13186801,신내다우훼밀리,서울특별시 중랑구 송림길 16
A13186905,신내라이프미성,서울특별시 중랑구 용마산로129나길 101
A13187004,신내성원,서울특별시 중랑구 신내로 51
A13187201,신내8단지두산화성,서울특별시 중랑구 신내로 155
A13187302,신내대명11단지,서울특별시 중랑구 봉화산로 193
A13187305,신내9단지,서울특별시 중랑구 신내로 127
A13187306,신내10단지,서울특별시 중랑구 신내로 115
A13187406,신내새한아파트,서울특별시 중랑구 용마산로 616
A13187702,중화한신아파트,서울특별시 중랑구 동일로 752
A13201002,서울도봉,서울특별시 도봉구 도봉로180길 83-14
A13201201,도봉현대성우,서울특별시 도봉구 마들로 735-8
A13201202,도봉파크빌3단지,서울특별시 도봉구 마들로 891
A13201203,도봉극동아파트,
A13201206,도봉동아에코빌,서울특별시 도봉구 도봉로180길 6-25
A13201207,도봉삼환,서울특별시 도봉구 도봉로180길 6-81
A13201208,서원아파트,서울특별시 도봉구 마들로 684-9
A13201209,도봉한신,서울특별시 도봉구 마들로 859-19
A13410005,강일리버파크10단지,서울특별시 강동구 고덕로97길 20
A13410006,강일리버파크4단지,서울특별시 강동구 아리수로97길 19
A13410007,강일리버파크9단지,서울특별시 강동구 고덕로97길 29
